album_name,artist,release_date,added_at,album_length,genres
How Much Works,Sweet Whirl,2020-05-29,2021-01-29T22:40:50Z,39.23016666666667,['melbourne indie']
Tin Drum,Japan,01/01/1981,2021-01-03T16:16:04Z,61.47795,"['art rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'synthpop']"
Georgia,Georgia,2015-08-07,2021-01-01T02:12:52Z,38.338116666666664,"['electropop', 'uk alternative pop']"
Southern Nights,Allen Toussaint,01/01/1975,2020-12-31T14:43:32Z,35.81216666666667,"['funk', 'louisiana blues', 'new orleans blues', 'new orleans soul', 'rock keyboard', 'soul', 'southern soul']"
Segundo,Juana Molina,01/01/2000,2020-12-29T13:23:03Z,69.09305,"['argentine indie', 'electronica argentina', 'experimental pop', 'folktronica']"
A Donny Hathaway Collection,Donny Hathaway,1990-04-03,2020-12-25T18:48:35Z,71.6168,"['chicago soul', 'classic soul', 'funk', 'neo soul', 'quiet storm', 'soul']"
Halo,Juana Molina,2017-05-05,2020-12-21T07:26:47Z,56.58401666666666,"['argentine indie', 'electronica argentina', 'experimental pop', 'folktronica']"
Clues,Robert Palmer,1980-01-01,2020-12-21T06:53:08Z,31.316633333333332,"['album rock', 'art rock', 'blues rock', 'classic rock', 'dance rock', 'disco', 'heartland rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'yacht rock']"
Hearts On Fire Anthology,Various Artists,01/01/2008,2020-12-21T06:52:55Z,72.88035,[]
華麗なるエレクトーン -ザ・ワード-,セキトオ・シゲオ,1975-01-25,2020-12-21T06:44:31Z,44.00808333333333,['classic japanese jazz']
Quinteto Ternura,Quinteto Ternura,1974-03-30,2020-12-21T06:42:45Z,30.996416666666665,['brazilian boogie']
When I Was Born For The 7th Time (Expanded),Cornershop,01/01/1997,2020-12-21T06:19:19Z,80.1476,['britpop']
Gala,Lush,1990-11-12,2020-12-21T05:43:30Z,46.639266666666664,"['alternative pop', 'alternative rock', 'art pop', 'britpop', 'dream pop', 'shoegaze']"
The Piano Prince of New Orleans,James Booker,1976-01-01,2020-12-21T03:44:21Z,50.032383333333335,"['boogie-woogie', 'jazz blues', 'louisiana blues', 'new orleans blues', 'new orleans soul', 'piano blues']"
Cave Vaults On The Moon In New Mexico,Tan Cologne,2020-02-14,2020-12-18T23:28:01Z,37.43996666666666,['modern dream pop']
Mia Gargaret,Gia Margaret,2020-06-12,2020-12-18T22:50:46Z,27.56145,"['indie folk', 'indie pop', 'small room']"
I Was Born Swimming,Squirrel Flower,2020-01-31,2020-12-18T22:50:27Z,35.08258333333333,"['boston indie', 'bubblegrunge', 'indie folk', 'indie pop']"
Yes,Shinichi Atobe,2020-07-17,2020-12-18T22:50:05Z,46.315416666666664,"['art pop', 'dub techno', 'float house', 'fourth world', 'japanese electronic', 'japanese house', 'japanese techno', 'microhouse', 'minimal techno', 'outsider house']"
Help,Duval Timothy,2020-08-07,2020-12-18T22:49:45Z,55.91325,['multidisciplinary']
Alletiders,Alle,2020-05-08,2020-12-18T22:48:39Z,53.71328333333334,[]
Galore,Oklou,2020-09-24,2020-12-18T22:47:54Z,33.27546666666667,"['art pop', 'electropop', 'escape room', 'hyperpop']"
Weaving a Basket,Sea Oleena,2020-10-31,2020-12-18T22:47:37Z,48.11865,"['ambient pop', 'gauze pop']"
After Dark 3,Various Artists,2020-10-23,2020-12-13T03:49:41Z,72.02006666666666,[]
Facing North,Meredith Monk,1992-10-01,2020-11-30T23:08:15Z,54.67016666666667,"['american contemporary classical', 'avant-garde', 'compositional ambient', 'contemporary classical', 'experimental', 'experimental vocal', 'minimalism', 'spectra']"
The Pains of Being Pure at Heart,The Pains Of Being Pure At Heart,2009-02-03,2020-11-28T06:26:14Z,34.40501666666667,"['c86', 'dream pop', 'garage psych', 'indie pop', 'metropopolis', 'modern dream pop', 'noise pop', 'nu gaze', 'shoegaze']"
Canta Lechuza,Helado Negro,2011-05-10,2020-11-28T04:35:57Z,39.4977,"['art pop', 'deep latin alternative', 'indie soul']"
Street Spirit (Fade Out),Radiohead,1996-01-22,2020-11-28T01:16:35Z,17.152433333333335,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
Bert Jansch,Bert Jansch,1965-01-01,2020-11-25T04:12:34Z,38.42545,"['british folk', 'country rock', 'folk', 'folk rock', 'singer-songwriter']"
Grace & Danger,John Martyn,1980-01-01,2020-11-25T04:09:03Z,39.30838333333333,"['british folk', 'folk', 'folk rock', 'psychedelic folk', 'roots rock', 'singer-songwriter']"
Soul Journey,Gillian Welch,2003-06-03,2020-11-25T04:04:47Z,39.132616666666664,"['alternative country', 'country rock', 'folk', 'folk rock', 'indie folk', 'lilith', 'melancholia', 'nashville singer-songwriter', 'new americana', 'progressive bluegrass', 'roots rock', 'singer-songwriter']"
Judee Sill,Judee Sill,01/01/1971,2020-11-25T04:02:11Z,34.430616666666666,"['art rock', 'folk', 'folk rock', 'singer-songwriter']"
For Beginner Piano,Plone,1999-09-13,2020-11-21T12:48:25Z,39.2955,"['deep idm', 'drill and bass', 'intelligent dance music']"
Этажи,Molchat Doma,2018-09-07,2020-11-21T12:34:06Z,33.275983333333336,"['belarusian indie', 'russian post-punk', 'sovietwave']"
In Debt To,Napoleon IIIrd,2007-05-07,2020-11-18T23:17:37Z,46.23595,['leeds indie']
Róisín Machine,Róisín Murphy,2020-10-02,2020-11-18T23:05:24Z,54.45851666666667,"['alternative dance', 'art pop', 'dance pop', 'electronica', 'electropop', 'neo-synthpop', 'new rave']"
Working Men's Club,Working Men's Club,2020-10-02,2020-11-18T23:02:36Z,47.47528333333333,"['chamber psych', 'english indie rock', 'uk post-punk revival']"
Symbol,Susumu Yokota,2004-10-27,2020-11-07T04:21:10Z,45.51615,"['abstract', 'ambient', 'art pop', 'art rock', 'compositional ambient', 'drill and bass', 'drone', 'electronica', 'fourth world', 'intelligent dance music', 'j-ambient', 'japanese electronic', 'japanese idm', 'microhouse']"
Have We Met,Destroyer,2020-01-31,2020-11-07T02:56:56Z,42.266616666666664,"['alternative dance', 'alternative rock', 'art pop', 'canadian indie', 'chamber pop', 'chamber psych', 'chillwave', 'dream pop', 'garage psych', 'indie pop', 'indie rock', 'modern rock', 'noise pop', 'vancouver indie']"
Locura,Virus,1985-04-29,2020-10-31T19:27:05Z,33.981716666666664,"['argentine rock', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']"
Little Creatures (Deluxe Version),Talking Heads,1985-07-10,2020-10-31T19:21:06Z,54.67283333333334,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
Protection,Massive Attack,1994-09-26,2020-10-31T13:57:11Z,49.037083333333335,"['big beat', 'downtempo', 'electronica', 'trip hop']"
Roped In,North Americans,2020-10-09,2020-10-31T13:32:53Z,31.009366666666665,"['american primitive', 'drone folk', 'pastoral']"
You Turn Me On,Beat Happening,1992-02-10,2020-10-31T13:27:43Z,45.26775,"['alternative pop', 'alternative rock', 'anti-folk', 'c86', 'dream pop', 'gbvfi', 'indie rock', 'lo-fi', 'noise pop', 'olympia wa indie', 'post-punk', 'riot grrrl', 'tape club', 'twee pop']"
Super 8,Los Planetas,1995-05-15,2020-10-13T13:18:03Z,56.47325,"['granada indie', 'latin rock', 'rock andaluz', 'spanish indie pop', 'spanish modern rock', 'spanish noise pop']"
Don't Play That Song,Ben E. King,01/01/1962,2020-10-09T13:33:15Z,29.1726,"['adult standards', 'brill building pop', 'rock-and-roll', 'soul']"
Clinging to a Scheme,The Radio Dept.,2010-04-19,2020-10-05T17:21:10Z,34.954166666666666,"['chillwave', 'dream pop', 'lund indie', 'metropopolis', 'modern dream pop', 'nordic shoegaze', 'nu gaze', 'shoegaze', 'swedish indie pop']"
Joey Joesph,Joey Joesph,2020-07-03,2020-09-29T13:04:48Z,32.51925,[]
Breakin' It Up On The Beatles Tour! (Deluxe Edition),Jackie DeShannon,01/01/1964,2020-09-27T19:28:40Z,47.77166666666667,"['brill building pop', 'bubblegum pop', 'merseybeat']"
Passive Aggressive,The Radio Dept.,2011-01-25,2020-09-25T23:14:17Z,89.86528333333334,"['chillwave', 'dream pop', 'lund indie', 'metropopolis', 'modern dream pop', 'nordic shoegaze', 'nu gaze', 'shoegaze', 'swedish indie pop']"
Imperfect List,Big Hard Excellent Fish,01/01/1990,2020-09-19T17:29:04Z,23.009966666666667,[]
Brewing up With,Billy Bragg,01/01/1984,2020-09-12T20:58:44Z,68.5172,"['anti-folk', 'folk', 'folk punk', 'folk rock', 'permanent wave', 'roots rock', 'singer-songwriter', 'uk americana']"
The Internationale,Billy Bragg,01/01/1990,2020-09-10T20:22:56Z,62.99836666666667,"['anti-folk', 'folk', 'folk punk', 'folk rock', 'permanent wave', 'roots rock', 'singer-songwriter', 'uk americana']"
Reaching to the Converted,Billy Bragg,01/01/1999,2020-09-08T15:57:23Z,52.902366666666666,"['anti-folk', 'folk', 'folk punk', 'folk rock', 'permanent wave', 'roots rock', 'singer-songwriter', 'uk americana']"
Crowded House,Crowded House,1986-01-01,2020-09-06T05:15:04Z,38.99985,"['australian rock', 'mellow gold', 'permanent wave', 'pop rock', 'rock', 'soft rock']"
Hunger for a Way Out,Sweeping Promises,2020-08-14,2020-08-31T21:30:26Z,27.72671666666667,['garage psych']
Beyond the Pale,Jarvis Cocker,2020-07-17,2020-08-31T12:12:03Z,40.26506666666667,"['british alternative rock', 'britpop', 'sheffield indie', 'solo wave']"
Bonnie Raitt (2008 Remaster),Bonnie Raitt,01/01/1971,2020-08-22T02:09:31Z,37.70771666666667,"['classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'lilith', 'mellow gold', 'roots rock', 'singer-songwriter', 'soft rock']"
People Get Ready,The Impressions,1965-02-07,2020-08-13T15:58:58Z,31.59105,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'quiet storm', 'soul']"
Combat Rock (Remastered),The Clash,01/01/1982,2020-08-04T20:54:51Z,46.35415,"['classic rock', 'permanent wave', 'punk', 'rock']"
1999,Prince,1982-10-27,2020-07-31T18:30:34Z,70.52305,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']"
The Voices of East Harlem,Voices Of East Harlem,01/01/1973,2020-07-23T17:26:56Z,28.711966666666665,['gospel soul']
Good God! Apocryphal Hymns,Various Artists,2013-05-07,2020-07-23T17:23:37Z,77.799,[]
Point,Cornelius,2002-01-22,2020-07-23T17:14:42Z,48.168816666666665,"['indietronica', 'japanese alternative pop', 'shibuya-kei']"
Syreeta,Syreeta,1972-06-01,2020-07-23T15:35:15Z,38.39038333333333,"['classic soul', 'motown', 'quiet storm']"
Ride Lonesome,Young Ejecta,2020-06-26,2020-06-30T20:37:21Z,36.09043333333333,"['electropop', 'solipsynthm']"
The Sylvers,The Sylvers,01/01/1972,2020-06-30T16:36:15Z,31.70705,"['classic soul', 'disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm']"
The Babe Rainbow (AUS),Babe Rainbow,2017-09-01,2020-06-29T22:45:20Z,40.37838333333333,"['australian reggae fusion', 'indie garage rock', 'neo-psychedelic']"
You Can't Hide Your Love Forever,Orange Juice,1982-02-01,2020-06-17T12:25:53Z,38.30815,"['alternative rock', 'art rock', 'c86', 'new wave', 'new wave pop', 'post-punk', 'scottish new wave', 'scottish rock', 'uk post-punk']"
The Life Aquatic Exclusive Studio Sessions Featuring Seu Jorge,Seu Jorge,2005-01-01,2020-06-14T00:16:23Z,47.847033333333336,"['mpb', 'samba', 'samba-rock']"
Those Who Throw Objects at the Crocodiles Will Be Asked to Retrieve Them,Bruno Pernadas,2016-09-23,2020-06-11T21:05:30Z,53.05416666666667,['portuguese indie']
Foster Sylvers,Foster Sylvers,01/01/1973,2020-06-06T04:32:04Z,38.3755,[]
Mountain Roads & City Streets,Allan Wachs,1979-10-25,2020-06-04T03:30:04Z,36.68103333333333,['cosmic american']
Sandinista! (Remastered),The Clash,01/01/1980,2020-05-29T20:21:44Z,144.77268333333333,"['classic rock', 'permanent wave', 'punk', 'rock']"
24-24 Music: The Definitive Arthur Russell Sleeping Bag Recordings,Dinosaur L,2015-10-16,2020-05-28T12:44:44Z,118.48138333333333,['no wave']
Juvenilia,The Verlaines,01/01/1987,2020-05-23T17:42:08Z,64.06366666666666,"['dunedin indie', 'dunedin sound', 'gbvfi']"
For You,I. JORDAN,2020-05-20,2020-05-20T17:49:25Z,31.149733333333334,['experimental techno']
Set My Heart On Fire Immediately,Perfume Genius,2020-05-15,2020-05-15T13:13:06Z,50.700383333333335,"['art pop', 'chamber pop', 'chillwave', 'electropop', 'experimental pop', 'indie pop', 'indie rock', 'seattle indie']"
Mura Masa,Mura Masa,2017-07-14,2020-05-15T12:49:32Z,45.38881666666666,"['channel islands indie', 'hyperpop', 'vapor soul']"
Kashif (Expanded Edition),Kashif,2014-10-27,2020-05-05T12:53:31Z,63.5213,"['disco', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']"
In Full Bloom,Rose Royce,01/01/1977,2020-04-30T18:28:42Z,41.5566,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Speak for Yourself,Imogen Heap,2005-07-18,2020-04-30T17:27:02Z,49.548183333333334,"['etherpop', 'metropopolis']"
Sixteen Oceans,Four Tet,2020-03-13,2020-04-30T17:10:31Z,54.73518333333333,"['electronica', 'folktronica', 'indie soul', 'intelligent dance music']"
True Colors,Cyndi Lauper,1986-10-14,2020-04-25T05:16:08Z,38.1133,"['disco', 'new wave pop', 'permanent wave', 'soft rock']"
Trafalgar,Bee Gees,01/01/1971,2020-04-25T05:01:17Z,47.14148333333333,"['disco', 'mellow gold', 'soft rock']"
Cicero Park,Hot Chocolate,01/01/1974,2020-04-24T12:46:50Z,96.91786666666667,"['classic uk pop', 'disco', 'new wave pop', 'soft rock']"
The Electric Lucifer,Bruce Haack,01/01/1970,2020-04-19T03:00:47Z,37.23081666666667,"['canadian psychedelic', 'experimental', 'experimental rock', 'hauntology', 'lounge', 'moog', 'zolo']"
Haackula,Bruce Haack,2015-09-22,2020-04-19T02:55:28Z,44.21928333333334,"['canadian psychedelic', 'experimental', 'experimental rock', 'hauntology', 'lounge', 'moog', 'zolo']"
ANTI (Deluxe),Rihanna,2016-01-28,2020-04-11T23:07:09Z,50.980583333333335,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']"
The Spice Of Life,Marlena Shaw,1969-01-01,2020-04-11T22:56:44Z,31.062366666666666,"['classic soul', 'disco', 'funk', 'soul', 'southern soul']"
Evening Star,Robert Fripp,01/01/1975,2020-04-11T22:56:24Z,48.2311,"['ambient guitar', 'art rock', 'experimental', 'experimental ambient', 'experimental guitar', 'experimental rock', 'fourth world', 'jazz fusion', 'progressive rock', 'space rock', 'symphonic rock']"
Originals,Prince,2019-06-07,2020-04-11T22:38:56Z,63.8388,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']"
New York Graffiti (1619-1750 Broadway: an Independent American Pop Story 1958-1968),Various Artists,2020-02-21,2020-04-11T22:18:56Z,116.9155,[]
Sweet Soul Baby 2 - Rare and Hard to Find Soul 45s,Various Artists,2019-09-07,2020-04-11T22:18:47Z,45.89528333333333,[]
Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,2020-04-11T22:10:51Z,41.08838333333333,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']"
The Lost Boys Original Motion Picture Soundtrack,Various Artists,1987-06-15,2020-04-05T00:35:23Z,43.747933333333336,[]
The English Riviera,Metronomy,2011-04-11,2020-03-31T23:37:39Z,45.11395,"['alternative dance', 'electronica', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'socal pop punk']"
The Night Chancers,Baxter Dury,2020-03-20,2020-03-31T22:27:41Z,30.477933333333333,['chamber psych']
Fantasy,Aquarian Dream,01/01/1978,2020-03-31T22:00:53Z,37.427083333333336,"['jazz funk', 'rare groove']"
Signos (Remastered),Soda Stereo,1986-10-09,2020-03-31T20:23:08Z,40.84973333333333,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']"
Otra Era,Javiera Mena,2014-10-28,2020-03-31T20:22:54Z,41.53555,"['chilean indie', 'chilean rock', 'electronica chilena', 'pop chileno', 'pop electronico']"
Soul Mining,The The,01/01/1983,2020-03-31T20:20:38Z,47.05041666666666,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk']"
Fresh,Raspberries,1972-01-01,2020-03-14T14:43:32Z,31.33305,"['beatlesque', 'bubblegum pop', 'jangle pop', 'power pop', 'pub rock']"
Circle,Scala & Kolacny Brothers,2010-08-10,2020-03-07T13:19:56Z,60.8135,[]
We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,2020-02-29T20:06:03Z,37.2612,"['conscious hip hop', 'funk', 'jazz funk', 'political hip hop', 'slam poetry', 'soul']"
KIRK,DaBaby,2019-09-27,2020-02-29T17:55:16Z,35.265683333333335,"['north carolina hip hop', 'rap', 'trap']"
Even Now,Barry Manilow,01/01/1978,2020-02-29T17:51:36Z,48.1157,"['adult standards', 'bubblegum pop', 'disco', 'folk rock', 'mellow gold', 'quiet storm', 'soft rock', 'yacht rock']"
Glasshouse,Jessie Ware,2017-10-20,2020-02-29T17:39:45Z,46.419716666666666,"['art pop', 'british soul', 'dance pop', 'electropop', 'neo soul', 'pop', 'pop soul', 'tropical house']"
Ta Det Lugnt,Dungen,2004-05-01,2020-02-28T02:34:20Z,53.38413333333333,"['neo-psychedelic', 'swedish indie rock', 'swedish psychedelic rock']"
The Roches,The Roches,1979-04-11,2020-02-24T14:44:28Z,39.93885,"['folk', 'folk rock']"
Lap Of Luxury,Cheap Trick,1988-04-12,2020-02-22T12:26:34Z,42.151516666666666,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'power pop', 'rock', 'soft rock']"
Lost Wisdom,Mount Eerie,01/01/2008,2020-02-15T18:41:06Z,24.664833333333334,"['alternative rock', 'anti-folk', 'art pop', 'dream pop', 'indie rock', 'lo-fi', 'melancholia', 'post-rock', 'washington indie']"
Polytravellers,Vektroid,2011-05-12,2020-01-26T15:18:33Z,52.761266666666664,"['indie dream pop', 'vaporwave']"
Wave,Patti Smith,01/01/1979,2020-01-26T15:08:41Z,42.95905,"['art punk', 'art rock', 'folk rock', 'permanent wave', 'protopunk', 'rock']"
Blue Lines (2012 Mix/Master),Massive Attack,1991-06-10,2020-01-25T15:09:57Z,44.9054,"['big beat', 'downtempo', 'electronica', 'trip hop']"
Loop the Loop,Bullion,2016-02-26,2020-01-24T14:59:42Z,43.46958333333333,['wonky']
Power Fuerza,Ghetto Brothers,1972-01-08,2020-01-24T14:45:59Z,32.31511666666667,[]
Listen,A Flock Of Seagulls,01/01/1983,2020-01-22T15:16:41Z,42.27795,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
A Flock Of Seagulls,A Flock Of Seagulls,1982-04-30,2020-01-22T15:16:27Z,38.34615,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
FanTastic,Toy-Box,1999-01-01,2020-01-22T14:33:56Z,42.49745,"['bubblegum dance', 'eurodance', 'europop']"
Heaven,DJ Sammy,2002-08-06,2020-01-18T03:22:04Z,58.82575,"['eurodance', 'europop']"
The Wild Tchoupitoulas,The Wild Tchoupitoulas,1976-01-01,2020-01-07T17:48:39Z,35.25485,"['native american', 'new orleans funk', 'second line', 'zydeco']"
BIGBANG Vol. 1,BIGBANG,2006-12-22,2020-01-03T17:07:23Z,36.87328333333333,"['k-pop', 'k-pop boy group']"
Subiza,Delorean,2010-04-19,2019-12-13T00:37:35Z,42.59885,"['alternative dance', 'balearic', 'chillwave', 'indietronica', 'new rave']"
Beyond the Fleeting Gales,Crying,2016-10-14,2019-12-13T00:37:17Z,34.23481666666667,"['bitpop', 'bubblegrunge', 'diy emo', 'indie punk', 'modern power pop']"
"i,i",Bon Iver,2019-08-09,2019-12-02T22:11:37Z,39.687916666666666,"['eau claire indie', 'indie folk', 'melancholia']"
Made Of Glass,True,2019-11-22,2019-11-27T23:40:17Z,36.62003333333333,['swiss pop']
Thirty,Noah,2019-10-18,2019-11-27T22:58:59Z,35.3058,[]
The Talkies,Gilla Band,2019-09-27,2019-11-27T22:45:05Z,45.7658,"['garage psych', 'irish indie rock']"
Pang,Caroline Polachek,2019-10-18,2019-11-27T22:41:36Z,46.62996666666667,"['art pop', 'dance pop', 'electropop', 'escape room', 'indie pop', 'indietronica', 'pop']"
Oblivion Access,Lil Ugly Mane,2015-12-18,2019-11-21T23:09:50Z,44.06228333333333,"['alternative hip hop', 'escape room', 'psychedelic hip hop', 'underground hip hop', 'virginia hip hop']"
Go Tell Fire To The Mountain,WU LYF,2011-06-13,2019-11-06T17:48:37Z,47.2075,['chillwave']
Genre-Specific Xperience,Fatima Al Qadiri,2015-01-13,2019-11-06T17:48:16Z,23.481166666666667,"['arab electronic', 'arab experimental', 'art pop', 'deconstructed club', 'electra', 'escape room', 'experimental electronic', 'fluxwork', 'grave wave', 'spectra']"
Apocalypse,Bill Callahan,2011-04-19,2019-11-05T16:15:13Z,40.43793333333333,"['alternative country', 'art pop', 'chamber pop', 'indie folk', 'indie rock', 'singer-songwriter', 'solo wave']"
2020,Richard Dawson,2019-10-11,2019-10-14T15:22:31Z,57.87595,"['chamber psych', 'experimental folk', 'experimental psych', 'newcastle indie']"
Mono No Aware,Various Artists,2017-03-17,2019-10-09T12:19:52Z,76.1521,[]
Slow Summits,The Pastels,2013-05-27,2019-10-09T12:12:13Z,43.55726666666666,"['alternative pop', 'alternative rock', 'c86', 'dream pop', 'lo-fi', 'scottish indie', 'scottish new wave', 'scottish rock', 'twee pop']"
Construção,Chico Buarque,1971-01-01,2019-09-23T13:47:45Z,31.0566,"['bossa nova', 'fado', 'mpb', 'tropicalia']"
The Age Of Immunology,Vanishing Twin,2019-06-07,2019-08-26T14:55:38Z,45.22355,"['art pop', 'chamber psych', 'experimental pop', 'indie folk', 'neo-psychedelic']"
Colossal Youth,Young Marble Giants,01/01/1980,2019-08-06T17:00:27Z,99.02491666666667,"['art rock', 'dream pop', 'experimental', 'post-punk', 'uk post-punk']"
Sensitive G,Eyedress,2018-11-16,2019-07-29T23:30:44Z,52.50653333333333,['noise pop']
Sky Girl,Various Artists,2016-07-18,2019-07-29T23:23:30Z,51.33345,[]
In The Flat Field,Bauhaus,1980-11-03,2019-04-01T03:59:10Z,69.80211666666666,"['alternative rock', 'dark wave', 'gothic rock', 'new wave', 'post-punk']"
Sun Machine,Rubblebucket,2018-08-24,2019-02-13T03:16:19Z,41.27905,"['indie pop', 'shimmer pop']"
Blow Away Your Troubles,The Cleaners From Venus,01/01/1981,2019-01-16T21:44:52Z,64.79311666666666,"['alternative rock', 'art rock', 'dream pop', 'experimental', 'experimental pop', 'lo-fi', 'post-punk']"
Uneven Paths: Deviant Pop From Europe (1980-1991),Various Artists,2018-03-29,2019-01-14T02:37:50Z,73.19566666666667,[]
Flamingo,Sean Nicholas Savage,2011-12-13,2019-01-11T00:08:21Z,44.356683333333336,['shimmer psych']
Loving on the Flipside,Various Artists,2012-09-25,2019-01-08T14:54:35Z,73.67833333333333,[]
Lost Halloween,Various Artists,2015-01-01,2018-10-31T00:11:00Z,38.710366666666665,[]
There's No Place Like America Today,Curtis Mayfield,01/01/1975,2018-10-30T21:56:34Z,35.576616666666666,"['chicago soul', 'classic soul', 'funk', 'soul']"
Encore un dernier baiser,Niagara,1986-01-01,2018-08-17T22:34:29Z,38.92216666666667,"['chanson', 'french pop', 'french rock', 'rennes indie']"
Doin' It Right,Mike James Kirkland,1995-05-19,2018-08-03T13:37:55Z,36.08218333333333,"['classic soul', 'rare groove']"
Organisation,Orchestral Manoeuvres In The Dark,1980-10-24,2018-08-02T02:58:59Z,59.736583333333336,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
